,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract,Electric_Range
9187,WBAJA9C55J,Pierce,Tacoma,WA,98404.0,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,52650.0,27.0,185986111,POINT (-122.41249 47.21584),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053062400.0,16.0
9188,WBY8P4C51K,Grant,Quincy,WA,98848.0,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.0,13.0,219325963,POINT (-119.85338 47.23748),PUD NO 2 OF GRANT COUNTY,53025010500.0,126.0
9189,KNDJP3AE5G,King,Renton,WA,98056.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,31950.0,11.0,205228992,POINT (-122.1805 47.50006),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025401.0,93.0
9190,5YJSA1E26H,King,Renton,WA,98059.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,11.0,109693146,POINT (-122.15734 47.48718),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025104.0,210.0
9191,JTDKN3DP7D,Snohomish,Bothell,WA,98012.0,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,1.0,347969422,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051922.0,6.0
9192,JTDKN3DP0D,King,Seattle,WA,98122.0,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,37.0,227116032,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007901.0,6.0
9193,WBY8P2C00L,King,Seattle,WA,98117.0,2020,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,36.0,265651382,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001500.0,153.0
9194,5YJSA1E29G,Franklin,Pasco,WA,99301.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,9.0,276773521,POINT (-119.09467 46.23542),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,53021020503.0,210.0
9195,5YJSA1E14G,King,Kirkland,WA,98033.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,45.0,167517395,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022401.0,210.0
9196,3C3CFFGE0F,San Juan,Friday Harbor,WA,98250.0,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,40.0,113069169,POINT (-123.01648 48.53448),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960400.0,87.0
9197,WBY1Z2C50E,Pierce,Tacoma,WA,98444.0,2014,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,29.0,214868874,POINT (-122.43828 47.15258),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,53053071503.0,81.0
9198,KNAGV4LD9J,Snohomish,Snohomish,WA,98296.0,2018,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,1.0,131534826,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052114.0,29.0
9199,5YJSA1E20H,Snohomish,Lynnwood,WA,98037.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,32.0,145641842,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051602.0,210.0
9200,WAUTPBFF3G,King,Seattle,WA,98103.0,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,36.0,112368126,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001800.0,16.0
9201,4JGFB4GB0S,Benton,Richland,WA,99352.0,2025,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.0,8.0,276830613,POINT (-119.27372 46.27391),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),53005010810.0,49.0
9202,1N4BZ0CPXH,Snohomish,Lake Stevens,WA,98258.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,39.0,227869533,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061053603.0,107.0
9203,3C3CFFGE8F,King,Seattle,WA,98115.0,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,46.0,281143747,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002000.0,87.0
9204,WBY1Z2C55F,Snohomish,Everett,WA,98208.0,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,44.0,261259358,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041601.0,81.0
9205,JTDKN3DP0E,Grays Harbor,Mccleary,WA,98557.0,2014,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,24.0,303835122,POINT (-123.26405 47.04946),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,53027000600.0,6.0
9206,5YJSA1E43K,Franklin,Pasco,WA,99301.0,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,9.0,258995908,POINT (-119.09467 46.23542),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,53021020608.0,270.0
9207,WBY8P8C00L,Island,Coupeville,WA,98239.0,2020,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.0,10.0,260181386,POINT (-122.68558 48.21857),PUGET SOUND ENERGY INC,53029971100.0,126.0
9208,5YJSA1E27H,San Juan,San Juan Is,WA,98250.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,40.0,9129956,POINT (-123.01648 48.53448),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960301.0,210.0
9209,WAUUPBFF2H,King,Mercer Island,WA,98040.0,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,41.0,268247220,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024400.0,16.0
9210,1N4BZ0CP4H,Mason,Hoodsport,WA,98548.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,35.0,162012147,POINT (-123.14135 47.40639),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY,53045960201.0,107.0
9211,5LMTJ5DZ6M,King,Auburn,WA,98092.0,2021,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,31.0,179668009,POINT (-122.1821 47.3199),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031000.0,28.0
9212,5YJSA1E43G,Whatcom,Bellingham,WA,98229.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,40.0,264565815,POINT (-122.45486 48.7449),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000902.0,210.0
9213,JTDKN3DPXF,Pierce,Gig Harbor,WA,98335.0,2015,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,26.0,111722775,POINT (-122.58009 47.328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072406.0,6.0
9214,5YJSA1E24G,King,Bellevue,WA,98027.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,41.0,325082061,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024902.0,210.0
9215,JTDKN3DP9F,Kitsap,Port Orchard,WA,98366.0,2015,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,26.0,237994494,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092300.0,6.0
9216,WA1LAAGE1M,Pierce,Auburn,WA,98092.0,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,31.0,273921266,POINT (-122.1821 47.3199),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070316.0,222.0
9217,5YJSA1CP3C,Snohomish,Marysville,WA,98270.0,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,59900.0,44.0,113322436,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052708.0,265.0
9218,KMHE14L28H,Snohomish,Marysville,WA,98270.0,2017,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,44.0,475788393,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052711.0,27.0
9219,5LMTJ5DZ2P,Snohomish,Edmonds,WA,98026.0,2023,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,21.0,261050247,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050300.0,28.0
9220,JTDKN3DP8D,Snohomish,Edmonds,WA,98020.0,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,32.0,114221985,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050800.0,6.0
9221,WP0AB2Y12L,King,Seattle,WA,98121.0,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,36.0,132502520,POINT (-122.34468 47.61578),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008004.0,203.0
9222,5LMTJ5DZ6M,Snohomish,Lynnwood,WA,98037.0,2021,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,32.0,180981069,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051500.0,28.0
9223,5YJSA1E25H,King,Redmond,WA,98053.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,45.0,181736040,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032328.0,210.0
9224,5YJSA1E20H,Whatcom,Bellingham,WA,98229.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,40.0,146838870,POINT (-122.45486 48.7449),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000902.0,210.0
9225,WA1AAAGE2M,Pierce,Gig Harbor,WA,98335.0,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,26.0,141410608,POINT (-122.58009 47.328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072405.0,222.0
